sheet_row,section,de,name,remark,source_column,status,suggested_column,confidence,area,reason,current_row_line
633,Wäärwe än latj krååm,Bollingwarft,Bolingweerw,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; -weerw/-weerf→Hallig/Harde; long-vowel doubling,602
642,Wäärwe än latj krååm,Dingsbülldeich,Dingsbeldik,,Mooring,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling,611
643,Wäärwe än latj krååm,Dreihardereck; Dreiharde Eck,Träihiirdsaaker,,Oudere noome,lost_by_script,wieding,low,wieding,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; long-vowel doubling,612
644,Wäärwe än latj krååm,Dreimühlen,Träimeelne,,Oudere noome,deleted_variant,wieding,low,unknown,area unknown; reads like an alternative Mooring spelling; å/ä/ö/ü→Mooring; long-vowel doubling,613
661,Wäärwe än latj krååm,Holmer Siel,Hoolmer Sil,,Oudere noome,deleted_variant,suedgoes,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,630
666,Wäärwe än latj krååm,Jacobswarft,Jokepsweerw,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; -weerw/-weerf→Hallig/Harde; long-vowel doubling,635
667,Wäärwe än latj krååm,Jüggersmarsch,Jükersmērsk,,Oudere noome,lost_by_script,solring,low,unknown,drop_older_column.py: dropped as an alternative Mooring spelling; area unknown; reads like an alternative Mooring spelling; macron→Sölring; å/ä/ö/ü→Mooring,636
676,Wäärwe än latj krååm,Klerenbüll,Kleerenbel,,Mooring,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; long-vowel doubling,645
68,Steeden än doorpe (implicit),Risummoor,e Mååre,,Mooring,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; article e→Mooring; å/ä/ö/ü→Mooring,70
68,Steeden än doorpe (implicit),Risummoor,e Maure,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; article e→Mooring,70
680,Wäärwe än latj krååm,Knutzenswarft,Knudsensweerw,,Oudere noome,deleted_variant,keep deleted,low,unknown,area unknown; reads like an alternative Mooring spelling; -weerw/-weerf→Hallig/Harde; long-vowel doubling,649
