Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Doogebel,,doogblinge,"doogebelinge, doogebaler (Fering)",Dagebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Foortuft,,foortuftinge,foortufter,Fahretoft,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
"Waiguurd, Woiguurd",,"waiguurdinge, woiguurdinge",,Waygaard,,Vadgård,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Froodeguurd,Frodeguurd,froodeguurdinge,frodeguurdinge,Froddegaard,,,,,
Troolebel,,troolebelinge,,Trollebüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Kuurlem,,kuurleme,,Karlum,,Karlum,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
e Lungbärj,,,,Langenberg,,,,,
Taningstää,,,,Tinningstedt,,Tinningsted,,,
Leek,,leekinge,,Leck,,Læk,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Sööneeker (halifreesk),,,Sandacker (bei Leck),,,,,
Leekäng,,,,Leckeng,,Lækeng,,,
Änggröif,,,,Engruf,,,,,
Huuchhulm,,,,Hyholm,,Højholm,,,
Külsmårk,,,,Karlsmark,,Kjølsmark,,,
e Rünel,de Rünel,,,Ründel,,Rønned / Ryndel,,,
Wiilbärj,,,,Wielberg,,,,,
Klasbel,Kläksbel (Kårhiirdinge),klasblinge,kläsblinge,Klixbüll,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
