Mooring,Oudere noome,Adjektiiw / inbooger betiikning,oudere adjektiiwe,Tjüsch,Plååttjüsch,Dåånsch,Synnejysk,Üülje noome,Kwäl
Huuder,"Huađer (Sölring), Huuger (Wisinge, mooring?)",huudernge?,huađering (Sölring),Hoyer,,Højer,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Grut Tuner,Grot Toner (wisinge),,,Mögeltondern,,Møgeltønder,,,
(Latj) Tuner,Toner (wisinge),tunernge,tunringe,Tondern,,Tønder,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Kloorster (?),,,Lügumkloster,,Løgumkloster,,,
Ååwenru,,ååwenruer,,Apenrade,,Aabenraa,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
"Kupenhuugen, Kuupenhuugen",Kuupenhåågen,kupenhuugner,kuupenhåågner,Kopenhagen,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Kolün,,,Kollund,,,,,
Flansborj,"Flänsborj, Flänsburi (Wisinge), Flensborj (halifreesk)",flansborjer,,Flensburg,,Flensborg,,,
Luksborj?,Loksborj,,,Glücksburg,,,,,
Slaswik,,slaswiker,,Schleswig,,,,,
Ransborj,Randsburj,ransborjer,,Rendsburg,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
"Kil, Keel",,"kiler, keeler",,Kiel,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Glükstää,,,glükstääser,Glückstadt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hamborj,"Hamburj, Hambörri (Halunder)",hamborjer,,Hamburg,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
Amsterdam,,amsterdamer,,Amsterdam,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Lon'n (Halunder),,,London,,,,,
,,,,,,,,,
,Tres / Trös (Halunder),,tresdunger / tröstunger (Halunder),Cuxhaven,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,Breämen (Halunder),,,Bremen,,,,,
,Breämerhoawen (Halunder),,,Bremerhaven,,,,,
,Wüllemshoawen (Halunder),,,Wilhelmshaven,,,,,
,,,,,,,,,
"Runghoolt, Runghult",Rongholt (Halifreesk),,,Rungholt,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Kuuge,,,,,,,,,
Deesbelnge Koornkuuch,,,,"Deezbüller Kornkoog, Westermooringer Kornkoog",,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Bräistinger Kuuch,,,,Bredstedter Koog,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Gutskuuch,Gotskuuch,,,Gotteskoog,,Gudskog,,,
Böökinghiirder Gutskuuch,,,,Bökingharder Gotteskoog,,,,,
Kårhiirder Gutskuuch,,,,Karrharder Gotteskoog,,,,,
Üülje Krisen-Albrechen-Kuuch,,,,Alter Christian-Albrechts-Koog,,Gammel Christian Albrechts Kog,,,
Naie Krisen-Albrechen-Kuug,,,,Neuer Christian-Albrechts-Koog,,,,,
Störtewärkskuuch,,,,Störtewerkerkoog,,Størteværkkog,,,
Mariienkuuch,,,,Marienkoog,,,,,
Steerdeblinge Üülje Kuuch,Steerdebeler Uule Kuuch,,,Alter Sterdebüller Koog,,,,,
Steerdeblinge Naie Kuuch,,,,Neuer Sterdebüller Koog,,,,,
Bluumenkuuch,,,,Blumenkoog / Blomenkoog,,Blomekog,,,
,Broorskuuch,,,Broderskoog (Wiedingharde),,,,,
Bruunodenkuuch,,,,Brunottenkoog,,,,,
Latje Kooldoomer Kuuch,,,,Kleiner Kohldammer Koog,,,,,
Grute Kooldoomer Kuuch,,,,Großer Kohldammer Koog,,,,,
Hiirnekuuch,,,,Herrenkoog,,,,,
Hüneblinge kuuch,,,,Hundebüllerkoog,,,,,
Mariienkuuch,,,,Marienkoog,,,,,
Doogblinge Kuuch,Doogebeler Kuuch,,,Dagebüller Koog,,,,,
Juljåånen-Mariien-Kuuch,Juljåånen-Kuuch,,,Juliane-Marien-Koog,,,,,
Klisiikuuch,Kloisiiekuuch,,,Kleiseerkoog,,Klægsøkog,,,
Klasblinge(r) Kuuch,,,,Klixbüller Koog,,,,,
Kornkuuch,Eekerkuuch?,,,Kornkoog,,,,,
Horninge(r) Üülje Kuuch,Hoorninger Uule Kuuch,,,Langenhorner Alter Koog,,,,,
Horninge(r) Naie Kuuch,Hoorninger Naie Kuuch,,,Langenhorner Neuer Koog,,,,,
Norderkuuch,,,,Norderkoog,,,,,
Oosewulder Kuuch,,,,Osewoldter Koog,,,,,
Rübel Kuuch,,,,Ruttebüller Koog,,Rudbøl Kog,,,
Sööderkuuch,,,,Süderkoog,,,,,
Weester Snootebel Kuuch,,,,Westerschnatebüller Koog,,,,,
Wisinghiirder Üülje Kuuch,Wiringhiirder Uuile Kuuch,,,Wiedingharder Alter Koog,,,,,
Wisinghiirder Naie Kuuch,Wiringhiirder Naie Kuuch,,,Wiedingharder Neuer Koog,,,,,
Üülje Augustenkuuch,,,,Alter Augustenkoog,,,,,
Naie Augustenkuuch,,,,Neuer Augustenkoog,,,,,
Beltringhiirder Kuuch,,,,Beltringharder Koog,,,,,
Bäärtuft Kuuch,,,,Bevertoft Koog,,,,,
Brääkleme Kuuch,Brääklemer Kuuch,,,Breklumer Koog,,,,,
,Bruunodenkuuch,,,Brunottenkoog,,,,,
Bupheewerkuuch,,,,Buphever Koog,,,,,
Cecilienkuuch,,,,Cecilienkuuch,,,,,
Deljekuuch,,,,Deljekoog,,,,,
Desmerciereskoog,,,,Desmerciereskuuch,,,,,
,Träikantskuuch,,,Dreieckskoog,,,,,
Galmsbelkuuch,,,,Galmbüllkuuch,,,,,
,Grote Kuuch,,,Großer Koog,,,,,
,Grothüsem Kuuch,,,Grothusenkoog,,,,,
,Haatstinger Kuuch,,,Hattstedter Koog,,,,,
,Haatstinger Naie Kuuch,,,Hattstedter Neuer Koog,,,,,
Hauke-Haien-Kuuch,,,,Hauke-Haien-Koog,,,,,
Heewerkuuch,,,,Heverkoog,,,,,
,Hulmkuuch,,,Holmkoog,,,,,
Hunenkuuch,,,,Hunnenkoog,,,,,
Johann-Heimreichen-Kuuch,,,,Johann-Heimreichs-Koog,,,,,
Junkernkuuch,,,,Junkernkoog,,,,,
Kårhiirder Üülje Kuuch,,,,Karrharder Alter Koog,,,,,
,Läitje Kuuch,,,Kleiner Koog,,,,,
,Läitje Noorderkuuch,,,Kleiner Norderkoog,,,,,
Liimrikkuuch,,,,Lehmrickkoog,,,,,
Louisenkuuch,,,,Louisenkoog,,,,,
Margrätjenkuuch,Margarethenkuuch,,,Margarethenkoog,,,,,
Mjarschkuuch,Määrschkuuch,,,Marschkoog,,,,,
,Mälste Kuuch,,,Mittelster Koog (Pellworm),,,,,
Naikuuch,,,,Neukoog,,,,,
,Norderfriidrichenkuuch,,,Norderfriedrichskoog,,,,,
Norderheewerkuuch,Noorderheewerkuuch,,,Norderheverkoog,,,,,
Obenskuuch,,,,Obbenskoog,,,,,
Houlme Kuuch,Hoolmer Kuuch,,,Ockholmer Koog,,,,,
,Uule Kuuch,,,Oldenkoog,,,,,
,Poonshalikuuch,,,Pohnshalligkoog,,,,,
Porekuuch,,,,Porrenkoog,,,,,
,Reußenkuuge,,,Reußenköge,,,,,
Rikelsbelinge Kuuch,,,,Rickelsbüller Koog,,,,,
Siiwersfleeter Kuuch,,,,Sieversflether Koog,,,,,
,Siimensbeerier Kuuch,,,Simonsbergerkoog,,,,,
,Sainke-Nissen-Kuuch,,,Sönke-Nissen-Koog,,,,,
Sofiien-Magdaleenen-Kuuch,,,,Sophien-Magdalenen-Koog,,,,,
Sofiien-Samerkuuch,,,,Sophien-Sommerkoog,,,,,
,Süürfriidrichenkuuch,,,Süderfriedrichskoog,,,,,
,Süürheewerkuuch,,,Süderheverkoog,,,,,
,Desmerciereskuuch,,,Desmerciereskoog,,,,,
,Eliisabeth-Sofiien-Kuuch,,,Elisabeth-Sophien-Koog,,,,,
Tümlauer Kuuch,,,,Tümlauer Koog,,,,,
Ülwesbelinge Kuuch,Ülwesbeler Kuuch,,,Uelvesbüller Koog,,,,,
,Wåålsbeler Kuuch,,,Wallsbüller Koog,,,,,
Wååderkuuch,,,,Wasserkoog,,,,,
Weesterkuuch,,,,Westerkoog,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Hiirde,,,,,,,,,
Kårhiird,,kårhiirdinge,,Karrharde,,Kær Herred,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Wisinghiird,Wiringhiird,wisinge,wiringe,Wiedingharde,,Viding Herred,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Böökinghiird,,böökinghiirdinge,böökinghiirnge,Bökingharde,,Bøking Herred,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Nordergooshiird,Noordergooshiird,nordergooshiirdinge,,Nordergoesharde,,Nørre Gøs Herred,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Söödergooshiird,Süürgooshiird,söödergooshiirdinge,,Südergoesharde,,Sønder Gøs Herred,,,
Wirikshiird,,,,Wiedrichsharde,,,,,
Edomshiird,,,,Edomsharde,,,,,"Marie Tånageberg 2021, Sååge än Tääle"
Bältringhiird?,Beltringhiird,beltringe?,,Beltringharde,,Beltring Herred,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Hålie, ailönje än sönje",,,,,,,,,
Fäär,Feer,fäär(i)nge,fäiringe,Föhr,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Sal,"Sul, Söl",salernge,salringe,Sylt,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen; Büten dik än banen dik, Nordfriisk Instituut, 1999"
Oomrem,"Oomram, Oomrem (halifreesk)",öömringe (oomringe?),öömrange,Amrum,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Hålilönj,Deät Lun (Halunder),,håluuner,Helgoland,,,,,Frasch Leesebök I
,De Halem (Halunder),,,Helgoländer Düne,,,,,
Räm?,Rem (Sölring),,rems (sölring),Röm,,Rømø,,,
,Fuan (Sölring),,fuaninger (sölring),,,Fanø,,,
Pelwäärm,"Pelwärm, Polwäärm, Pelweerm (halifreesk)",pelwäärmer,pelweermer (halifreesk),Pellworm,,,,,
e Strönj,"de Ströön, Noordströön, Nordströnj",strooninge?,"strööninge(r), nordströnjer",Nordstrand,,,,,
Krüschenshåli,,,,Christianshallig,,,,,
Üülönj,Ualöön (Hålifrasch),üülönjinge?,üülönjer,Oland,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
e Groue,de Grööe (Hålifrasch),,,Gröde,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2000"
Ååpellönj?,Aapellöön (Hålifrasch),,,Appelland,,,,,
e Nees,"Lungnees, de Nees",neesmoons,,Langeness,,Langenæs,,,"Büten dik än banen dik, Nordfriisk Instituut, 2001"
e Mjarsch,"de Meersk, Nöördmeersk, Nordmjarsch",,meerskmoons,Nordmarsch,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2002"
Bütwäil?,Butweel (Hålifrasch),,,Buhtwehl,,,,,
e Huuge,de Huuge,,,Hooge,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2002"
Hååbel,Haabel (Hålifrasch),,,Habel,,,,,
Beenshåli / Beensens Håli?,,,,Beenshallig / Behnshallig,,,,,Nicolai Möllgaard
Haienshåli,,,,Hainshallig,,,,,"Dåt jöör hüs, Nis Albrecht Johannsen"
Hamborjer Håli,,,,Hamburger Hallig,,,,,
Latj Moos,"Läitj Möör, Lätj Moor, Lidj Muur (Hålifrasch)",,,Lütt Moor / Nordstrandischmoor,,,,,
Norderuug,Noorderuug,,,Norderoog,,Nørreog,,,
Sööderuug,"Saaruuch, Saruug",,,Süderoog,,,,,
Söödfål,"Süürfåål, Sufaol",,,Südfall,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2002"
Swinereeg,,,,Schweinerücken,,,,,
,Joortsön' (Sölring),,,Jordsand,,Jordsand,,,
,Joortsön's Flak (Sölring),,,Jordsands Flak,,Jordsand Flak,,,
Ruchelai Sönj?,Rochenlai Söön,,,Rocheley Sand,,,,,
Runghult Sönj,,,,Rungholtsand,,,,,
,Knip,,,Kniepsand,,Knipsand,,,
Norderuug Sönj,,,,Norderoogsand,,Nørreogsand,,,
,,,,,,,,,
Buunehåli,Buunehali (wisinge),,,Bohnenhallig,,,,,
Gruthåli (Gutskuuch),Grothali (wisinge),,,Großhallig,,Storehallig,,,
Hatesbelhåli (Gutskuuch),Hatesbelhali,,,Hattersbüllhallig,,,,,
Leenshåli,Leenshali (wisinge),,,Lehnshallig,,Lenshallig,,,
Schääwehåli,,,,Schäferhallig,,,,,
,Håårehåli,,,Hasenhallig,,,,,
,Poonshali,,,Pohnshallig,,,,,
Swinehåli,,,,Schweinehallig,,,,,
Weesterheewersönj,Weesterheewersoun,,,Westerheversand,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Wäärwe än latj krååm,,,,,,,,,
Paderswäärw,,,,Peterswarf (?) (Langeness),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
Paderhoitswäärw,,,,Peterhaitzwarf (Langeness),,,,,
Honkenswäärw,Honkensweerw,,,Honkenswarf (Langeness),,,,,
Hünenswäärw,Hunensweerw,,,Hunnenswarf (Langeness),,,,,
Käädelswäärw,Käädelsweerw (Halifreesk),,,Ketelswarf (Langeness),,,,,
Naiwäärw,Naiweerw,,,Neuwarf (Langeness),,,,,
,Baondiksweerw,,,Bandixwarf (Langeness),,,,,"Nordfriesische Dialektstudien, Ernst Löfstedt, 1931"
,"Schorkeweerw, Nees-Schorkeweerw",,,Kirchwarft (Langeness),,,,,Halligfriesisches-Lesebuch
Tåånswäärw,Taonsweerw,,,Tadenswarf (Butweel),,,,,"Nordfriesische Dialektstudien, Ernst Löfstedt, 1931"
,Kruschensweerw,,,Christianswarf (Butweel),,,,,
,Tamensweerw,,,Tamenswarf (Butweel),,,,,
e Holge (Hålge?),Haolgeweerw (Halifreesk),,,Halgehus (Nordmarsch),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999, Halligfriesisches-Lesebuch"
Rakswäärw,Raksweerw (Halifreesk),,,Rixwarf (Nordmarsch),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
Hingelai,Hiangelai(sweerw) (Halifreesk),,,Hilligenley (Nordmarsch),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999, Halligfriesisches-Lesebuch"
,"Moiensweerw, Maujensweerw (Maoiensweerw?)",,,Mayenswarft (Nordmarsch),,,,,Halligfriesisches-Lesebuch
,"Schorkhoofweerw?, Schorkeweerw, Meersk-Schorkeweerw",,,Kirchhofswarf (Nordmarsch),,,,,Halligfriesisches-Lesebuch
,Traibeerch,,,Treuberg (Nordmarsch),,,,,
,Noorderheern,,noorderheerner,Norderhörn (Nordmarsch),,,,,
,Saarheern,,,Süderhörn (Nordmarsch),,,,,
Schörkewäärw,,,,Kirchwarft,,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
Nordwäärw,Noordweerw,,,Nordwarft,,,,,
Sööderwäärw,Sörweerw (Houlmer freesch? wisinge?),,,Süderwarft,,,,,
Latj-Jäns-Wäärw,Lätj-Jäns-Wäärw (Foortuftinge),,,Lütt-Jens-Warft (Fahretoft),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 1999"
Brouderswäärw,Brouersweerw (Foortuftinge),brouderswäärwer,brouderswäärwinge?,Broderswarft (Fahretoft),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2000"
Bounenswäärw,,,,Bahnenswarft (Fahretoft),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2001"
Tuu'nswäärw,,,,Tudenswarft (Fahretoft),,,,,"Büten dik än banen dik, Nordfriisk Instituut, 2002"
Goobrielsweerw,"Gawenswäärw, Gåbrielswäärw",,,Gabrielswarft (Fahretoft),,,,,
Jakebswäärw,,,,Jakobswarft (Fahretoft),,,,,
Moienswäärw,,,,Maienswarft (Fahretoft),,,,,
Rouerdswäärw,,,,Richardswarft (Fahretoft),,,,,
Bungsil,Bongsil,,,Bongsiel,,,,,
Slütsil,,,,Schlüttsiel,,,,,
Waiguurdinge dik,,,,Waygard Deich,,,,,"Hoekstra, US WURK LXIV (2015), Geographische Adjektive und Einwohnernamen im Nordfriesischen"
Bulhüs,Bolhus (halifreesk),,,Bollhaus,,,,,
Norder Waiguurd,Norder Woiguurd,,,Norderwaygard,,,,,
Sööder Waiguurd,Sööder Woiguurd,,,Süderwaygard,,,,,
Bluksbärj,Bloksbärj (doogbling?),,,Blocksberg (Dagebüll),,,,,
Doogebel Huuwen,Doogebel Huugen (doogbling),,,Dagebüll Hafen,,,,,
Doogebel Schörk,,,,Dagebüll Kirche,,,,,
Doogebel Doom,,,,Dagebülldamm,,,,,
Jenswäärw,,,,Jenswarft (Dagebüll),,,,,
Kuuchwäärw,Kuuchweerw,,,Koogswarft (Dagebüll),,Kogvarf,,,
Naiwäärw,,,,Neuwarft (Dagebüll),,,,,
e Borj,,,,Deezbüll Burg,,,,,
Frisenhuuwen,,,,Fresenhagen,,,,,
Rikelsbel,Raksbel?,,,Rickelsbüll,,,,,
Hunerthüsem,Honerthüsem,,,Hunwerthusum,,,,,
Hodebeldik,,,,Hoddebülldeich,,,,,
Söödweestjarn,Sörweersthörn,,,Südwesthörn,,,,,
Bakenswäärw,Bakensweerf (Hålifrasch),,,Backenswarft (Hooge),,,,,
Hanswäärw,Hansweerf (Hålifrasch),,,Hanswarft (Hooge),,,,,
Iipkenswäärw,Iipkensweerf (Hålifrasch),,,Ipkenswarf (Hooge),,,,,
Okenswäärw (Ukenswäärw?),Okensweerf,,,Ockenswarf (Hooge),,,,,
,Madeltrit,,,Mitteltritt (Hooge),,,,,
,Schorkweerf,,,Kirchwarft (Hooge),,,,,
,Okelutsweerf,,,Ockelützwarft (Hooge),,,,,
,Folkertsweerf,,,Volkertswarft (Hooge),,,,,
,Wästerweerf,,,Westerwarft (Hooge),,,,,
,Lorensweerf,,,Lorenzwarft (Hooge),,,,,
Oibärj,Oibäärch,,,Eiberg,,,,,
,Kreensboorj,,,Christianburg (Ockholm),,,,,
,Fäderweerw,,,Fedderswarft (Ockholm),,,,,
,Eekensweerw,,,Eggerswarft (Ockholm),,,,,
,Läitje Guurd,,,Kleine Gaarde (Ockholm),,,,,
,Gråte Guurd,,,Große Gaarde (Ockholm),,,,,
,Greeneweerw,,,Grünewarft (Ockholm),,,,,
,Schörkeweerw,,,Kirchwarft (Ockholm),,,,,
,Noordweerw,,,Nordwarft (Ockholm),,,,,
,"Sörweerw, Sårweerw",,,Süderwarft (Ockholm),,,,,
,Päidersweerw,,,Peterswarft (Ockholm),,,,,
,"Reedelsweerw, Reelnsweerw",,,Redlefswarft (Ockholm),,,,,
,Sanensweerw,,,Sönnenswarft (Ockholm),,,,,
,Taadensweerw,,,Tadenswarft (Ockholm),,,,,
,Tiirsweerw,,,Ditrichswarf (Ockholm),,,,,
,Knutsweerw,,,Knudtswarft (Gröde),,,,,
,Sköölweerw,,,Schulwarft (Gröde),,,,,
,Nikelsweerw,,,Nickelswarft (Eiderstedt),,,,,
Hiiknup,Hiignube,,,Heideberg,,,,,
e Hängst,De hingst,,,Hengst,,,,,
Dracht,,,,Hestendragt,,,,,
Hoornborj,,,,Hornburg,,,,,
Hungerbärj,Hongerbeeri,,,Hungerburg,,,,,
Jäägerkrouch,,,,Jägerkrug,,,,,
,Kloidiinj,,,Kleiende,,Klægende,,,
Latjekuuchsdik,Laitekuuchsdik,,,Kleinkoogsdeich,,,,,
Klisiikuuchsdik,Kloisiiekuuchsdik,,,Kleiseerkoogsdeich,,,,,
,Ämesbel Mårke,,,Mark (Emmelsbüll),,,,,
,Moarkhüsinge,,,Markhäuser (?),,,,,
,Märlingmoarke,,,"Merlingmark, Merlingfeld",,,,,
Madeldik,Mädeldik,,,Mitteldeich,,,,,
Madeltrit,,,,Mitteltritt,,,,,
Meelendik,Mjilendik,,,Mühlendeich,,,,,
,Määgelbeerch,,,Mögelberg,,,,,
Norddik,,,,Norddeich,,,,,
Norderwäärw,"Noorderweerf, Noorderweerw",,,Norderwarft (Lütt Moor),,,,,
Nordååsterdik,Noordårsterdik,,,Nordosterdeich,,,,,
,Nösi,,,Nösse,,Næsodde,,,
Ååster Höögelfälj,,,,Ost Höögelfälj,,,,,
Ååsterdik,Oasterdik (Wisinge),,,Osterdeich,,,,,
Ååstersil,Aastersil,,,Ostersiel,,,,,
Bai e Sil,,,,Beim Siel (Wiedingharde),,,,,
Rollwagentooch?,,,,Rollwagenzug,,,,,
Di Rüüdje Haubärj,,,,Der Rote Haubarg,,,,,
Weesterheewer,,,,Westerhever,,,,,
Ååsterheewer,Aasterheewer,,,Osterhever,,,,,
,Suneeker,,,Sandacker,,,,,
,Ruar Klef,,,Rotes Kliff,,,,,
,Schiirl,,,Schirl,,,,,
,E Smjile,,,Schmale,,,,,
,Småålfäil,,,Schmalfeld,,,,,
,Snäidik (wisinge),,,Schneedeich,,,,,
,Säägesbel,,,Segelsbüll (Bauernhof),,,,,
Såhoulmbru,Såhulmbru,,,Soholmbrück,,,,,
Stub,,,,Stubb,,,,,
Sööderdik,"Sördik (Gooshiirding, Wising), Sürdik (Kårhiirdinge)",,,Süderdeich,,,,,
Sööderiinje,"Söleraanj (fering), Süđerjen (sölring)",,,Süderende,,,,,
Flii,,,,Vlie,,,,,
e Wång,E Wong,,,Wange,,,,,
Wäieeker,,,,Wegacker,,,,,
,Weerstermjilenhüs,,,Westermühlenhaus,,,,,
Weestersil,,,,Westersiel,,,,,
,Wielbäire?,,,Wielberg,,Hvilbjerg,,,
Winert,,,,Windert,,,,,
Wruguurd,,,,Wraagaard,,Vrågård,,,
Wrääwsbel,,,,Wrewelsbüll,,,,,
,Uule Gaardingdik,,,Alt Gardingdeich,,,,,
Üüljdik,"Ualdik (Håtst), Uuldik (E houlme)",,,Altendeich,,,,,
,Borig,,,Alter Burgwall,,,,,
Arlou Slöös,Arluu Slüs,,,Aarlau Schleuse,,,,,
,Beerch,,,Bargum Barg,,,,,
,Bolingweerw,,,Bollingwarft,,,,,
Brünbärj,,,,Braunberg,,,,,
Bruwäi,,bruwänge,,Broweg,,,,,
e Borj,,,,Burg,,,,,
Deesbeldik,,,,Deezbüll Deich,,,,,
Deesbeljarn,,,,Deezbüll Eck,,,,,
,Diksheern,,,Deichshörn,,,,,
Dikhüsem,,,,Diekhusen,,,,,
,Dikjen-Deel,,,Dikjen-Deel,,,,,
Dingsbeldik,,,,Dingsbülldeich,,,,,
Triijarnsåk,Träihiirdsaaker,,,Dreihardereck (Dreiharde Eck),,,,,SSF Årbog 2012
,Träimeelne,,,Dreimühlen,,,,,
Draft,,,,Drift,,,,,
Gutskuuchdik,,,,Gotteskoogdeich,,,,,
,Gratdün (öömring),,,Großdüne,,,,,
Gräinhüs,,,,Grünhaus,,,,,
,Gräinheern,,,Grünhörn,,,,,
,Gräindeel,,,Grüntal,,,,,
,Haimöördik,,,Haimoordeich,,,,,
Hamborjer Dik,,,,Hamburger Deich,,,,,
Hemerdik,,,,Hemmerdeich,,,,,
Hiirnedik,,,,Herrendeich,,,,,
Huuchbrusil,,,,Hochbrücksiel,,,,,
Huuchtoorp,,,,Hochdorf,,,,,
,Huuchheern,,,Hochhörn (Eiderstedt),,,,,
,Bai e Hörn,,,Hochhörn (Wiedingharde),,,,,
,Holerem,,,Holerem,,,,,
Holbelhüs,,,,Hollbüllhuus,,,,,
,Hoolmer Sil,,,Holmer Siel,,,,,
,Hoierswort,,,Hoyerswort,,,,,
Huk,,,,Huck,,,,,
,de Heern,,,Hörn,,,,,
,Ingwersheern,,,Ingwershörn,,,,,
,Jokepsweerw?,,,Jacobswarft (wo?),,,,,
,Jükersmērsk,,,Jüggersmarsch,,,,,
,Kaamp,,,Kaamp,,,,,
,Kalfslün,,,Kalfslund,,,,,
,Koolnheern,,,Kaltenhörn,,,,,
,Kampheern,,,Kamphörn,,,,,
Kååtingsil,,,,Katingsiel,,,,,
,Koatshörn,,,Katzhörn,,,,,
,Klapholtdääl,,,Klappholttal,,,,,
,Klenterdeel,,,Klentertal,,,,,
Kleerenbel,,,,Klerenbüll,,,,,
,Klänt,,,Klint,,,,,
,Klänt,,,Klindt,,,,,
,Kloostermäldik,,,Klostermitteldeich,,,,,
,Knudsensweerw,,,Knutzenswarft (Eiderstedt),,,,,
Kooldoomerdik,,,,Kohldammerdeich,,,,,
Kiningseeker,,,,Königsacker,,,,,
Koorndik,,,,Korndeich,,,,,
Warkshuuchde,"Ranzelbärj, Wiarkshuuch, Wiarkshuuchde? (Wikipedia)",,,Rantzauhöhe,,,,,Erk Petersen
Lungendik,,,,Langedeich,,,,,
Ååsterhorningerfälj,Aasterhoorningerfäil,,,Oster-Langenhornfeld,,,,,
Weesterhorningerfälj,Weesterhoorningerfäil,,,Wester-Langenhornfeld,,,,,
Lungedik,,,,Langerdeich,,,,,
Lunhamfälj,,,,Lindholmfeld,,,,,
Lehiifälj,Lohiifäil,,,Loheiderfeld,,,,,
Jöömstfälj,Jöömstfeel,,,Löwenstedtfeld,,,,,
,Jöömstlün,,,Löwenstedtlund,,,,,
e Lün,,,,Lund (Bordelum),,,,,
,de Lün,,,Lund (Husum),,,,,
Latjenhornfälj,Letjenhoarnfäil,,,Lütjenhornfeld,,,,,
Latj Moor Sil,Läitj Möör Sil,,,Lüttmoorsiel,,,,,
Guulibärj,Guulibeerch,,,Margarethenberg,,,,,
Mariienkuuchsdik,,,,Marienkoogsdeich,,,,,
Mårkhüsinge,Moarkhüsinge,,,Markhäuser,,,,,
Mälstfälj,Mälstfeel,,,Mildstedtfeld,,,,,
Madfälj,Mädfäil,,,Mittelfeld,,,,,
Mänkebelfälj,Mönkebelfäil,,,Mönkebüllfeld,,,,,
Moordik,Måårdik,,,Moordeich (Bökingharde),,,,,
,Möördik,,,Moordeich (Eiderstedt),,,,,
Naidoom,,,,Neudamm,,,,,
,Naisjösbel Mädfäil,,,Neukirchen Mittelfeld,,,,,
,Naisjösbel Oasterfäil,,,Neukirchen Osterfeld,,,,,
,Naisjösbel Sörfäil,,,Neukirchen Südfeld,,,,,
,Naipepersmoark,,,Neupepersmark,,,,,
,Noorderräich,,,Norderreihe,,,,,
,Noordhörn,,,Nordhörn,,,,,
,Noordmoark,,,Nordmark,,,,,
,Noorstfeel,,,Norstedtfeld,,,,,
,Uurstfeel,,,Ohrstedtfeld,,,,,
,Åldropfeel,,,Olderupfeld,,,,,
,Aastenuufeel,,,Ostenaufeld,,,,,
,Aastenfäilfäil,,,Ostenfeldfeld,,,,,
,Uasterjen,,,Osterende (Sylt),,,,,
,Ååsterfeel,,,Osterfeld,,,,,
