kind,mooring,local,wieding,karrhard,nordgoes,midgoes,suedgoes,fering,oomrang,solring,hallig,halunder,de,hint,da,osm,wikidata,status,note
settlement,,,,,,,,Bualigsem,,,,,Boldixum,,,node/14178456570,,auto,
settlement,,,,,,,,Borigsem,,,,,Borgsum,,,node/240078984,,auto,
settlement,,,,,,,,Grat Dunsem,,,,,Groß-Dunsum,,,node/6284297325,,auto,
settlement,,,,,,,,Letj Dunsem,,,,,Klein-Dunsum,,,node/1350778715,,auto,
settlement,,,,,,,,Guating,,,,,Goting,,,node/436162051,Q21141179,auto,
settlement,,,,,,,,Hedehüsem,,,,,Hedehusum,,,node/376944181,,auto,
settlement,,,,,,,,Klantem,,,,,Klintum,Föhr,,node/1350778716,,auto,
settlement,,,,,,,,Madlem,,,,,Midlum,,,node/240040399,,auto,
settlement,,,,,,,,Ööwenem,,,,,Oevenum,,,node/240111951,,auto,
settlement,,,,,,,,Olersem,,,,,Oldsum,,,node/240032251,,auto,
settlement,,,,,,,,Taftem,,,,,Toftum,Föhr,,node/1350778719,,auto,
settlement,,,,,,,,Ödersem,,,,,Utersum,,,node/240109620,,auto,
settlement,,,,,,,,Wiisem,,,,,Witsum,,,node/240119355,,auto,
settlement,,,,,,,,Wraksem,,,,,Wrixum,,,node/240065658,,auto,
settlement,Nääbel,,,,,,,,Neebel,,Nääbel,,Nebel,,,node/240084859,,auto,
settlement,Witdöön,,,,,,,,Witjdün,,,,Wittdün,,,node/240091761,Q15928901,auto,
settlement,,,,,,,,,Noorsaarep,,,,Norddorf,,,node/240044021,,auto,
settlement,,,,,,,,,Stianood,,,,Steenodde,,,node/55458425,Q14426645,auto,
settlement,,,,,,,,,Sössaarep,,,,Süddorf,,,node/55459542,Q14453117,auto,
settlement,,,,,,,,,Waasterhias,,,,Westerheide,Neebel (Oomrem),,local/westerheide-amrum,,ok,nicht in OSM; Lage von Hand gesetzt
settlement,Wriakhörn,,,,,,,,,,,,Wriakhörn,,,,,,
settlement,Skaagen,,,,,,,,,,,,,,Skagen,node/2208554046,Q215177,auto,
settlement,Ålborj,,,,,,,,,,,,,,Aalborg,node/2247730880,Q25410,auto,
settlement,Ripen,,,,,,,,,,,,Ripen,,Ribe,node/597643755,Q322361,auto,
settlement,,,Tingle,,,,,,,,,,Tingleff,,Tinglev,node/7532792443,Q3618891,auto,
settlement,Bålem; Balem,,,,,,,,,,,,Ballum,,Ballum,,,,uncertain
settlement,Huuder,,,,,,,,,Huađer,,,Hoyer,,Højer,node/7532652402,Q12317764,auto,uncertain
settlement,Grut Tuner,,Grot Toner,,,,,,,,,,Mögeltondern,,Møgeltønder,node/7532607860,Q3530269,auto,
settlement,Tuner,Tynne,Toner,,,,,,,,,,Tondern,,Tønder,node/1688992103,Q3223979,auto,
settlement,Läigemklooster,,Kloorster,,,,,,,,,,Lügumkloster,,Løgumkloster,node/26559133,Q3172924,auto,uncertain
settlement,Ååwenru,,,,,,,,,,,,Apenrade,,Aabenraa,node/25425345,Q154897,auto,
settlement,Kuupenhuugen; Kuupenhuugen,,,,,,,,,,,,Kopenhagen,,,node/13707878,Q1748,auto,
settlement,Kolün,,,,,,,,,,,,Kollund,,,,,,
settlement,Flansborj,,Flänsbori,,,,,,,,Flensborj,,Flensburg,,Flensborg,node/240033839,Q3798,auto,unsorted other-dialect name: Flänsborj
settlement,Luksborj,,Loksborj,,,,,,,,,,Glücksburg,,,node/240093758,,auto,uncertain
settlement,Hanewit,,,,,,,,,,,,Handewitt,,,node/240091054,,auto,
settlement,Slaswik,,,,,,,,,,,,Schleswig,,,node/43348147,Q501661,auto,
settlement,Ransborj,Rensborg,,,,,,,,,,,Rendsburg,,,node/43366937,Q490457,auto,
settlement,Kil,,,,,,,,,,,,Kiel,,,node/24487450,Q1707,auto,
settlement,Glükstää,,,,,,,,,,,,Glückstadt,,,node/96128316,Q377277,auto,
settlement,Hamborj,,Hambori,,,,,,,,,Hambörri,Hamburg,,,,,,unsorted other-dialect name: Hamburj
settlement,,,,,,,,,,,,Lon'n,London,,,,,,
settlement,,,,,,,,,,,,Trös; Tres,Cuxhaven,,,,,,unsorted other-dialect name: Tres
settlement,,,,,,,,,,,,Breämen,Bremen,,,,,,
settlement,,,,,,,,,,,,Breämerhoawen,Bremerhaven,,,,,,
settlement,,,,,,,,,,,,Wüllemshoawen,Wilhelmshaven,,,,,,
settlement,Runghoolt; Runghult,,,,,,,,,,Rongholt,,Rungholt,,,,,,
koog,Friedrich-Wilhelm-Lübke-Kuuch,,,,,,,,,,,,Friedrich-Wilhelm-Lübke-Koog,,,node/240074898,Q559472,auto,
koog,Deesblinge Koornkuuch,,,,,,,,,,,,Deezbüller Kornkoog; Westermooringer Kornkoog,,,,,,
koog,Bräistinge Kuuch,,,,,,,,,,,,Bredstedter Koog,,,,,,
koog,Gutskuuch,,Gotskuuch,,,,,,,,,,Gotteskoog,,Gudskog,,,,
koog,Nordergutskuuch,,Noordergotskuuch,,,,,,,,,,Nordergotteskoog,,,node/10158150212,,auto,
koog,Söödergutskuuch,,Sörgotskuuch,,,,,,,,,,Südergotteskoog,,,,,,
koog,Böökinghiirder Gutskuuch,,,,,,,,,,,,Bökingharder Gotteskoog,,,,,,
koog,Kårhiirder Gutskuuch,,,,,,,,,,,,Karrharder Gotteskoog,,,,,,
koog,Üülje Krisen-Albrechen-Kuuch,,,,,,,,,,,,Alter Christian-Albrechts-Koog,,Gammel Christian Albrechts Kog,,,,
koog,Naie Krisen-Albrechen-Kuuch,,,,,,,,,,,,Neuer Christian-Albrechts-Koog,,,,,,
koog,Störtewärkskuuch,,,,,,,,,,,,Störtewerkerkoog,,Størteværkkog,,,,
koog,Mariienkuuch,,,,,,,,,,,,Marienkoog,,,,,,
koog,Steerdebelinge Üülje Kuuch,,,,,,,,,,,,Alter Sterdebüller Koog,,,,,,
koog,Steerdebelinge Naie Kuuch,,,,,,,,,,,,Neuer Sterdebüller Koog,,,,,,
koog,Bluumenkuuch,,,,,,,,,,,,Blumenkoog; Blomenkoog,,Blomekog,,,,
koog,Broorskuuch,,,,,,,,,,,,Broderskoog,Wiedingharde,,node/8538649031,,auto,
koog,Bruunodenkuuch,,,,,,,,,,,,Brunottenkoog,,,,,,
koog,Latje Kooldoomer Kuuch,,,,,,,,,,,,Kleiner Kohldammer Koog,,,,,,
koog,Grute Kooldoomer Kuuch,,,,,,,,,,,,Großer Kohldammer Koog,,,,,,
koog,Hiirnekuuch,,,,,,,,,,,,Herrenkoog,,,,,,
koog,Hünebelinge kuuch,,,,,,,,,,,,Hundebüllerkoog,,,,,,
koog,Doogblinge Kuuch,,,,,,,,,,,,Dagebüller Koog,,,,,,
koog,Juljåånen-Mariien-Kuuch,,,,,,,,,,,,Juliane-Marien-Koog,,,node/6372376767,Q929195,auto,
koog,Klisiikuuch,,,,,,,,,,,,Kleiseerkoog,,Klægsøkog,node/10189210655,,auto,
koog,Klasblinge Kuuch; Klasblinge Kuuch,,,,,,,,,,,,Klixbüller Koog,,,,,,
koog,Kornkuuch,,,,,,,,,,,,Kornkoog,,,,,,uncertain
koog,Horninge Üülje Kuuch,,,,Hoorninger Uule Kuuch,,,,,,,,Langenhorner Alter Koog,,,,,,
koog,Horninge Naie Kuuch,,,,Hoorninger Naie Kuuch,,,,,,,,Langenhorner Neuer Koog,,,,,,
koog,Norderkuuch,,,,,,,,,,,,Norderkoog,,,,,,
koog,Oosewulder Kuuch,,,,,,,,,,,,Osewoldter Koog,,,,,,
koog,Rübel Kuuch,,,,,,,,,,,,Ruttebüller Koog,,Rudbøl Kog,way/266521831,,auto,
koog,Sööderkuuch,,,,,,,,,,,,Süderkoog,,,,,,
koog,Weester Snootebel Kuuch,,,,,,,,,,,,Westerschnatebüller Koog,,,,,,
koog,Wisinghiirder Üülje Kuuch,,Wiringhiirder Uuile Kuuch,,,,,,,,,,Wiedingharder Alter Koog,,,,,,
koog,Wisinghiirder Naie Kuuch,,Wiringhiirder Naie Kuuch,,,,,,,,,,Wiedingharder Neuer Koog,,,,,,
koog,Üülje Augustenkuuch,,,,,,,,,,,,Alter Augustenkoog,,,,,,
koog,Naie Augustenkuuch,,,,,,,,,,,,Neuer Augustenkoog,,,,,,
koog,Bältringhiirder Kuuch,,,,,,,,,,,,Beltringharder Koog,,,way/332543518,Q816211,auto,
koog,Bäärtuft Kuuch,,,,,,,,,,,,Bevertoft Koog,,,,,,
koog,Brääkleme Kuuch,,,,Brääklemer Kuuch,,,,,,,,Breklumer Koog,,,,,,
koog,Bruunodenkuuch,,,,,,,,,,,,Brunottenkoog,,,,,,
koog,Bupheewerkuuch,,,,,,,,,,,,Buphever Koog,,,,,,
koog,Cecilienkuuch,,,,,,,,,,,,Cecilienkuuch,,,,,,
koog,Deljekuuch,,,,,,,,,,,,Deljekoog,,,,,,
koog,Desmerciereskuuch,,,,,,,,,,,,Desmerciereskoog,,,node/844930192,,auto,
koog,Reussenkuuch,,,,,,,,,,,,Reussenkoog,,,node/844930219,Q2146720,auto,
koog,Triikåntskuuch,,Träikantskuuch,,,,,,,,,,Dreieckskoog,,,node/7806442872,,auto,
koog,Gamsbelkuuch,,,,,,,,,,,,Galmbüllkuuch,,,,,,
koog,Grute Kuuch,,Grote Kuuch,,,,,,,,,,Großer Koog,,,,,,
koog,Gruthüsem Kuuch,,Grothüsem Kuuch,,,,,,,,,,Grothusenkoog,,,node/240028243,,auto,
koog,Håtstinge Kuuch,,,,,,Haatstinger Kuuch,,,,,,Hattstedter Koog,,,,,,
koog,Håtstinge Naie Kuuch,,,,,,Haatstinger Naie Kuuch,,,,,,Hattstedter Neuer Koog,,,,,,
koog,Hauke-Haien-Kuuch,,,,,,,,,,,,Hauke-Haien-Koog,,,node/6272447275,,auto,
koog,Heewerkuuch,,,,,,,,,,,,Heverkoog,,,,,,
koog,Hulmkuuch,,,,,,,,,,,,Holmkoog,,,,,,
koog,Hunenkuuch,,,,,,,,,,,,Hunnenkoog,,,,,,
koog,Johann-Heimreichen-Kuuch,,,,,,,,,,,,Johann-Heimreichs-Koog,,,,,,
koog,Junkernkuuch,,,,,,,,,,,,Junkernkoog,,,,,,
koog,Kårhiirder Üülje Kuuch,,,,,,,,,,,,Karrharder Alter Koog,,,,,,
koog,Latje Kuuch,,,,Läitje Kuuch,,,,,,,,Kleiner Koog,,,,,,
koog,Latje Norderkuuch,,,,Läitje Noorderkuuch,,,,,,,,Kleiner Norderkoog,,,,,,
koog,Liimrikkuuch,,,,,,,,,,,,Lehmrickkoog,,,,,,
koog,Louisenkuuch,,,,,,,,,,,,Louisenkoog,,,node/844930199,Q1872220,auto,
koog,Margrätjenkuuch,,,,,,Margarethenkuuch,,,,,,Margarethenkoog,,,node/10148352918,,auto,
koog,Mjarschkuuch,,,,,,Määrschkuuch,,,,,,Marschkoog,,,,,,
koog,Madelste Kuuch,,,,Mälste Kuuch,,,,,,,,Mittelster Koog,Pellworm,,,,,
koog,Naikuuch,,,,,,,,,,,,Neukoog,,,node/85925765,,auto,
koog,Norderfriidrichenkuuch,,,,,,,,,,,,Norderfriedrichskoog,,,node/240066785,,auto,
koog,Norderheewerkuuch,,,,,,,,,,,,Norderheverkoog,,,,,,
koog,Obenskuuch,,,,,,,,,,,,Obbenskoog,,,,,,
koog,Houlme Kuuch,,,,Hoolmer Kuuch,,,,,,,,Ockholmer Koog,,,,,,
koog,Üülje Kuuch,,,,Uule Kuuch,,,,,,,,Oldenkoog,,,,,,
koog,Poonshålikuuch,,,,,,,,,,,,Pohnshalligkoog,,,node/85925755,,auto,
koog,Porekuuch,,,,,,,,,,,,Porrenkoog,,,node/4101407831,,auto,
koog,Reussenkuuge,,,,,,,,,,,,Reußenköge,,,relation/1416815,Q21043,auto,
koog,Rikesbelinge Kuuch,,,,,,,,,,,,Rickelsbüller Koog,,,node/2878377420,,auto,
koog,Siiwersfleeter Kuuch,,,,,,,,,,,,Sieversflether Koog,,,,,,
koog,Siimensbärjer Kuuch,,,,,,Siimensbeerier Kuuch,,,,,,Simonsbergerkoog,,,,,,
koog,Sainke-Nissen-Kuuch,,,,,,,,,,,,Sönke-Nissen-Koog,,,node/844930222,,auto,
koog,Sofiien-Magdaleenen-Kuuch,,,,,,,,,,,,Sophien-Magdalenen-Koog,,,node/844930227,,auto,
koog,Sofiien-Samerkuuch,,,,,,,,,,,,Sophien-Sommerkoog,,,,,,
koog,Sööderfriidrichenkuuch,,,,,,Süürfriidrichenkuuch,,,,,,Süderfriedrichskoog,,,node/2431346180,,auto,
koog,Sööderheewerkuuch,,,,,,Süürheewerkuuch,,,,,,Süderheverkoog,,,node/684617848,,auto,
koog,Eliisabeth-Sofiien-Kuuch,,,,,,,,,,,,Elisabeth-Sophien-Koog,,,node/240121447,,auto,
koog,Tümlauer Kuuch,,,,,,,,,,,,Tümlauer Koog,,,node/240111790,,auto,
koog,Ülwesbelinge Kuuch,,,,,,,,,,,,Uelvesbüller Koog,,,,,,
koog,Wålsblinge Kuuch,,,,,,,,,,,,Wallsbüller Koog,,,,,,
koog,Wååderkuuch,,,,,,,,,,,,Wasserkoog,,,node/5846096553,,auto,
koog,Weesterkuuch,,,,,,,,,,,,Westerkoog,,,node/663725900,,auto,
harde,Kårhiird,,,Karhiird,,,,,,,,,Karrharde,,Kær Herred,,,,
harde,Wisinghiird,,Wiringhiird,,,,,,,,,,Wiedingharde,,Viding Herred,,,,
harde,Böökinghiird,,,,,,,,,,,,Bökingharde,,Bøking Herred,,,,
harde,Nordergooshiird,,,,Noordergooshiird,,,,,,,,Nordergoesharde,,Nørre Gøs Herred,,,,
harde,Söödergooshiird,,,,,,Süürgooshiird,,,,,,Südergoesharde,,Sønder Gøs Herred,,,,
harde,Wirikshiird,,,,,,,,,,,,Wiedrichsharde,,,,,,
harde,Edomshiird,,,,,,,,,,,,Edomsharde,,,,,,
harde,Bältringhiird,,,,,,,,,,,,Beltringharde,,Beltring Herred,,,,uncertain
island,Fäär,,,,,,,Feer,,,,,Föhr,,,relation/3352541,Q3127,auto,
island,Sal,,Sol,,,,,,,Söl,,,Sylt,,,relation/1576925,Q3107,auto,
island,Oomrem,,Oomrem,,,,,,Oomram,,,,Amrum,,,relation/3787117,Q3136,auto,
island,Hålilönj,,Häliluin,,,,,,,,,Deät Lun,Helgoland,,,way/278264186,Q3129772,auto,
island,,,,,,,,,,,,De Halem,Helgoländer Düne,,,,,,
island,Räm,,,,,,,,,Rem,,,Röm,,Rømø,relation/5178496,Q21191,auto,uncertain
island,,,,,,,,,,Fuan,,,,,Fanø,relation/6125571,Q20837,auto,
island,Pelweerm,,,,,,,,,,Pelweerm,,Pellworm,,,way/1472528448,Q17044067,auto,unsorted other-dialect name: Pelwärm; unsorted other-dialect name: Polwäärm
island,e Strönj,,,,,,,,,,de Ströön,,Nordstrand,,,relation/1420555,Q15058181,ok,confirmed onto the municipality relation (the peninsula node never reaches the tiles); the label itself comes from a synthetic island polygon on the village node (see curation.csv)
hallig,Krüschenshåli,,,,,,,,,,,,Christianshallig,,,,,,
hallig,Üülönj,,,,,,,,,,Ualöön,,Oland,,,way/1163568825,Q20687,auto,
hallig,e Groue,,,,,,,,,,de Grööe,,Gröde,,,way/1087160352,Q17047886,auto,
hallig,Aapellönj,,,,,,,,,,Aapellöön,,Appelland,,,node/2197771215,,auto,uncertain
hallig,e Nees,,,,,,,,,,de Nees,,Langeness,,Langenæs,way/4097795,Q13747872,auto,
hallig,e Mjarsch,,,,,,,,,,de Meersk,,Nordmarsch,,,local/nordmarsch,,ok,
hallig,Bütwäil,,,,,,,,,,Butweel,,Buhtwehl,,,local/buhtwehl,,ok,uncertain
hallig,e Huuge,,,,,,,,,,de Huuge,,Hooge,,,way/1472528450,Q17047971,auto,
hallig,Hååbel,,,,,,,,,,Haabel,,Habel,,,way/177387348,Q20670,auto,
hallig,Beenshåli,,,,,,,,,,,,Beenshallig; Behnshallig,,,,,,uncertain
hallig,Haienshåli,,,,,,,,,,,,Hainshallig,,,,,,
hallig,Hamborjer Håli,,,,,,,,,,,,Hamburger Hallig,,,relation/5615880,,ok,confirmed onto the admin_level=10 relation; curation.csv turns it into the island polygon (the isolated_dwelling node only appears at z14)
hallig,Latj Moos,,,,,,,,,,Lidj Muur; Lidj Möör,,Lütt Moor; Nordstrandischmoor,,,relation/3788045,Q20686,auto,
hallig,Norderuug,,,,,,,,,,Noorderuug,,Norderoog,,Nørreog,way/1472528449,Q20700,auto,
hallig,Sööderuug,,,,,,,,,,Saruug; Saaruuch,,Süderoog,,,way/1472528447,Q20707,auto,
hallig,Söödfål,,,,,,Süürfåål,,,,Sufaol,,Südfall,,,way/1472528446,Q20699,auto,
sand,Swinereeg,,,,,,,,,,,,Schweinerücken,,,,,,
sand,Jardsönj,,,,,,,,,Joortsön'; Joortsön,,,Jordsand,,Jordsand,way/207101712,Q16514240,auto,
sand,Jardsönj's Flåk,,,,,,,,,Joortsön's Flak,,,Jordsands Flak,,Jordsand Flak,way/418324255,,auto,
sand,Ruchelai Sönj,,,,,,,,,,Rochenlai Söön,,Rocheley Sand,,,relation/4107990,,auto,uncertain
sand,Runghult Sönj,,,,,,,,,,Rongholt Söön,,Rungholtsand,,,,,,
sand,Knipsönj,,,,,,,,Knip,,,,Kniepsand,,Knipsand,way/144075839,Q20624,auto,
sand,Norderuug Sönj,,,,,,,,,,Noorderuuch Söön,,Norderoogsand,,Nørreogsand,relation/5713604,Q20631,auto,
hallig,Buunehåli,,Buunehali,,,,,,,,,,Bohnenhallig,,,,,,
hallig,Gruthåli,,Grothali,,,,,,,,,,Großhallig,,Storehallig,,,,
hallig,Håtesbelhåli,,,Hatesbelhali,,,,,,,,,Hattersbüllhallig,,,node/8536783781,,auto,
hallig,Leenshåli,,Leenshali,,,,,,,,,,Lehnshallig,,Lenshallig,,,,
hallig,Schääwehåli,,,,,,,,,,,,Schäferhallig,,,node/10076008450,,auto,
hallig,Hååsehåli,,Håårehåli,,,,,,,,,,Hasenhallig,,,,,,
hallig,Poonshåli,,,,,,,,,,,,Pohnshallig,,,,,,
hallig,Swinehåli,,,,,,,,,,,,Schweinehallig,,,,,,
sand,Weesterheewersönj,,,,Weesterheewersoun,,,,,,,,Westerheversand,,,way/4100571,,auto,
warft,Paderswärw,,,,,,,,,,Padersweerw,,Peterswarf,Langeness,,node/7538193728,,auto,uncertain
warft,Pader-Hoits-Wärw,,,,,,,,,,Pader-Hoits-Weerw,,Peterhaitzwarf,Langeness,,node/7538193731,,auto,
warft,Honkenswärw,,,,,,,,,,Honkensweerw,,Honkenswarf,Langeness,,node/7523615330,,auto,
warft,Hünenswärw,,,,,,,,,,Hunensweerw,,Hunnenswarf,Langeness,,node/7538193730,,auto,
warft,Käädelswärw,,,,,,,,,,Käädelsweerw,,Ketelswarf,Langeness,,node/7538193725,,auto,
warft,Naiwärw,,,,,,,,,,Naiweerw,,Neuwarf,Langeness,,node/7538193729,,auto,
warft,Båndikswärw,,,,,,,,,,Baondiksweerw,,Bandixwarf,Langeness,,node/7523582620,,auto,
warft,Schörkewärw,,,,,,,,,,Schorkeweerw; Nees-Schorkeweerw,,Kirchwarft,Langeness,,node/7523637424,,ok,
warft,Tåånswärw,,,,,,,,,,Taonsweerw,,Tadenswarf,Butweel,,node/7538193727,,auto,
warft,Krüschenswärw,,,,,,,,,,Kruschensweerw,,Christianswarf,Butweel,,node/7523615329,,auto,
warft,Tamenswärw,,,,,,,,,,Tamensweerw,,Tamenswarf,Butweel,,node/7538193726,,auto,
warft,e Hålge,,,,,,,,,,Haolgeweerw,,Halgehus,Nordmarsch,,way/177295202,,,uncertain
warft,Rakswärw,,,,,,,,,,Raksweerw,,Rixwarf,Nordmarsch,,node/7538214227,,auto,
warft,Hingelai,,,,,,,,,,Hiangelaisweerw,,Hilligenley,Nordmarsch,,node/7538193724,,auto,unsorted other-dialect name: sweerw
warft,Moienswärw,,,,,,,,,,Moiensweerw,,Mayenswarft,Nordmarsch,,node/7514191592,,ok,uncertain
warft,Schörkewärw,,,,,,,,,,Meersk-Schorkeweerw; Schorkeweerw,,Kirchhofswarf,Nordmarsch,,node/7523623722,,auto,uncertain
warft,Traibärj,,,,,,,,,,Traibeerch,,Treuberg,Nordmarsch,,node/7523623721,,auto,
warft,,,,,,,,,,,Noorderheern,,Norderhörn,Nordmarsch,,node/7514220851,,auto,
warft,,,,,,,,,,,Saarheern,,Süderhörn,Nordmarsch,,node/7514189716,,auto,
warft,Schörkewärw,,,,,,,,,,,,Kirchwarft,,,,,,
warft,Latj-Jäns-Wärw,Lätj-Jäns-Weerw (Foortuftinge),,,,,,,,,,,Lütt-Jens-Warft,Fahretoft,,node/9893828369,,ok,
warft,Brouderswärw,Brouersweerw (Foortuftinge),,,,,,,,,,,Broderswarft,Fahretoft,,node/1594721085,,auto,
warft,Bounenswärw,Bounensweerw,,,,,,,,,,,Bahnenswarft,Fahretoft,,node/1594721069,,auto,
warft,Tuunswärw,Tuunsweerw,,,,,,,,,,,Tudenswarft,Fahretoft,,node/1594588996,,auto,
warft,Goobrielswärw,Goobrielsweerw,,,,,,,,,,,Gabrielswarft,Fahretoft,,node/1594735507,,auto,
warft,Jåkebswärw,Jakebsweerw,,,,,,,,,,,Jakobswarft,Fahretoft,,,,,
warft,Moienswärw,Moiensweerw,,,,,,,,,,,Maienswarft,Fahretoft,,,,,
warft,Rouerdswärw,Rouerdsweerw,,,,,,,,,,,Richardswarft,Fahretoft,,node/1594588994,,auto,
warft,Bungsil,Bongsil,,,,,,,,,,,Bongsiel,,,node/1332249556,,auto,
warft,Slütsil,,,,,,,,,,,,Schlüttsiel,,,node/430830801,,auto,
warft,Waiguurdinge Dik,Woiguurdinge Dik,,,,,,,,,,,Waygaard Deich,,,node/1594588997,,auto,
warft,Bulhüs,,,,,,,,,,Bolhus,,Bollhaus,,,node/1594588149,,auto,
warft,Norder-Waiguurd,Noorder-Woiguurd,,,,,,,,,,,Norder-Waygaard,,,node/1594588153,,ok,
warft,Sööder-Waiguurd,Sööder-Woiguurd,,,,,,,,,,,Süder-Waygaard,,,node/1594588995,,ok,
warft,Bluksbärj,Bloksbärj,,,,,,,,,,,Blocksberg,Dagebüll,,node/1801903762,,auto,
warft,Doogebel Huuwen,,,,,,,,,,,,Dagebüll Hafen,,,node/44961505,,auto,
warft,Doogebel Schörk,,,,,,,,,,,,Dagebüll Kirche,,,,,,
warft,Doogebel Doom,,,,,,,,,,,,Dagebülldamm,,,,,,
warft,Jänswärw,Jänsweerw,,,,,,,,,,,Jenswarft,Dagebüll,,way/188786563,,auto,
warft,Kuuchwärw,Kuuchweerw,,,,,,,,,,,Koogswarft,Dagebüll,Kogvarf,way/1416410746,,auto,
warft,Naiwärw,Naiweerw,,,,,,,,,,,Neuwarft,Dagebüll,,,,,
warft,Paderswärw,Paadersweerw,,,,,,,,,,,Peterswarft,Dagebüll,,,,,
warft,e Borj,,,,,,,,,,,,Deezbüll Burg,,,,,,
warft,Frisenhuuwen,,,,,,,,,,,,Fresenhagen,,,node/4361759265,Q1455665,auto,
warft,,,Rikesbel,,,,,,,,,,Rickelsbüll,,,node/12895604368,,auto,uncertain
warft,Hunerthüsem,,Honwerthüsem,,,,,,,,,,Hunwerthusum,,,,,,
warft,,,Hodebeldik,,,,,,,,,,Hoddebülldeich,,,node/1379347453,,auto,
warft,Söödweestjarn,,Sörweersthörn,,,,,,,,,,Südwesthörn,,,way/1184446005,,ok,
warft,Bakenswärw,,,,,,,,,,Bakensweerf,,Backenswarft,Hooge,,node/3410332393,,auto,
warft,Hanswärw,,,,,,,,,,Hansweerf,,Hanswarft,Hooge,,node/3410324993,,auto,
warft,Iipkenswärw,,,,,,,,,,Iipkensweerf,,Ipkenswarf,Hooge,,node/1937466211,,ok,OSM spells it Ipkenswarft (sheet: Ipkenswarf)
warft,Ukenswärw,,,,,,,,,,Okensweerf,,Ockenswarf,Hooge,,node/7514163878,,ok,uncertain
warft,Madeltrit,,,,,,,,,,,Maadeltrit,,Hooge,,node/1615454829,,auto,
warft,Schörkewärw,,,,,,,,,,Schorkweerf,,Kirchwarft,Hooge,,node/11711096159,,auto,
warft,Ukelütswärw,,,,,,,,,,Okelutsweerf,,Ockelützwarft,Hooge,,node/1615460544,,auto,
warft,Folkertswärw,,,,,,,,,,Folkertsweerf,,Volkertswarft,Hooge,,node/1948101807,,auto,
warft,Weesterwärw,,,,,,,,,,Wästerweerf,,Westerwarft,Hooge,,node/1937466223,,auto,
warft,Loornswärw,,,,,,,,,,Lorensweerf,,Lorenzwarft,Hooge,,node/1615454820,,auto,
warft,Oibärj,,,,,Oibäärch,,,,,,,Eiberg,,,,,,
warft,Kreensborj,,,,Kreensboorj,,,,,,,,Christianburg,Ockholm,,node/1331229597,,ok,
warft,Fäderwärw,,,,Fäderweerw,,,,,,,,Fedderswarft,Ockholm,,node/1332249191,,auto,
warft,Eekenswärw,,,,Eekensweerw,,,,,,,,Eggerswarft,Ockholm,,node/1331341983,,ok,
warft,Latje Guurd,,,,Läitje Guurd,,,,,,,,Kleine Gaarde,Ockholm,,node/1333738474,,auto,
warft,Grute Guurd,,,,Gråte Guurd,,,,,,,,Große Gaarde,Ockholm,,node/1333738476,,auto,
warft,Gräinewärw,,,,Greeneweerw,,,,,,,,Grünewarft,Ockholm,,node/1331340281,,ok,
warft,Schörkewärw,,,,Schörkeweerw,,,,,,,,Kirchwarft,Ockholm,,node/1333738478,,auto,
warft,Nordwärw,,,,Noordweerw,,,,,,,,Nordwarft,Ockholm,,way/1347936331,,auto,
warft,Sööderwärw,,,,Sårweerw,,,,,,,,Süderwarft,Ockholm,,node/1333738472,,auto,
warft,Paderswärw,,,,Päidersweerw,,,,,,,,Peterswarft,Ockholm,,node/1333738470,,auto,
warft,Reedelswärw,,,,Reedelsweerw; Reelnsweerw,,,,,,,,Redlefswarft,Ockholm,,node/1331227167,,auto,
warft,Sanenswärw,,,,Sanensweerw,,,,,,,,Sönnenswarft,Ockholm,,node/1333738473,,auto,
warft,Tåådenswärw,,,,Taadensweerw,,,,,,,,Tadenswarft,Ockholm,,node/1333738477,,auto,
warft,Tiirswärw,,,,Tiirsweerw,,,,,,,,Ditrichswarf,Ockholm,,node/1331229652,,ok,
warft,Knüdswärw,,,,,,,,,,Knudsweerw,,Knudswarft,Gröde,,node/2197628968,,auto,
warft,Schöljwärw,,,,,,,,,,Sköölweerw,,Schulwarft,Gröde,,node/2197628967,,auto,
warft,Nikelswärw,,,,,,,,,,,,Nickelswarft,Eiderstedt,,way/54197311; way/54197313,,ok,
warft,Hiiknup,,,Hiignube,,,,,,,,,Heideberg,,,node/8529604409,,auto,
warft,e Hängst,,,,,,,,,,,,Hengst,,,,,,
warft,Dracht,,,,,,,,,,,,Hestendragt,,,,,,
warft,Hornborj,,Hoornborj,,,,,,,,,,Hornburg,,,node/8536662478,,auto,
warft,Hungerbärj,,Hongerbeeri,,,,,,,,,,Hungerburg,,,way/370291276,,ok,
warft,Jäägerkrouf,,,,,,Jäägerkrooch,,,,,,Jägerkrug,,,node/6281267523,,ok,
warft,Kloidiinj,,,,,,,,,,,,Kleiende,,Klægende,local/kleiende,,ok,
warft,Latjekuuchsdik,,Laitekuuchsdik,,,,,,,,,,Kleinkoogsdeich,,,way/24652363; way/37050175,,auto,
warft,Klisiikuuchsdik,,,,,,,,,,,,Kleiseerkoogsdeich,,,way/269500538,,auto,
warft,Ämesbel Mårke,,,,,,,,,,,,Mark,Emmelsbüll,,,,,
warft,Märlingmårk,,Märlingmoarke,,,,,,,,,,Merlingmark; Merlingfeld,,,local/merlingmark,,ok,
warft,Madeldik,,Mädeldik,,,,,,,,,,Mitteldeich,,,node/1594721088; way/30232713,,ok,
