kind,mooring,local,wieding,karrhard,nordgoes,midgoes,suedgoes,fering,oomrang,solring,hallig,halunder,de,hint,da,osm,wikidata,status,note
settlement,Moosbel,,,,,,,,,,,,Maasbüll,,,node/5702535410,,,
settlement,Moosjarn,,,,,,,,,,,,Moorhäuser,,,node/10158150187,,auto,
settlement,Risem,,,,,,,,,,,,Risum,,,node/3359116899,,auto,
settlement,Lunham,,Luinham,,,,,,,,,,Lindholm,,,node/3359115318,,auto,
settlement,Risem-Lunham,,Risem-Luinham,,,,,,,,,,Risum-Lindholm,,,node/240090866,Q28038,auto,
settlement,Klookris,,,,,,,,,,,,Klockries,,,node/5702535411,Q19713052,auto,
settlement,Kråmperhüs,,,,,,,,,,,,Kremperhaus,,,node/10076026905,,auto,
settlement,Dikshood,,,,,,,,,,,,Deichskopf,,,,,,
settlement,e Gåå,,,,,,,,,,,,Die Gath,,Gade,node/10158150142,,ok,
settlement,Läigeroos,,,,,,,,,,,,Legerade,,,node/7872632216,,auto,
settlement,et Läiged,,,,,,,,,,,,Läiged,,,node/9498072848,,auto,
settlement,Ülbel,,,,,,,,,,,,Uhlebüll,,,node/10158150143,,auto,
settlement,e Moore,,,,,,,,,,,,Risummoor,,,,,,
settlement,e Ååstermoore,,,,,,,,,,,,Ostermoor,,,,,,
settlement,e Weestermoore,,,,,,,,,,,,Westermoor,,,node/240122490,,auto,
settlement,Gamsbel,,,,,,,,,,,,Galmsbüll,,,node/240042366,Q506039,auto,
settlement,Naigamsbel,,,,,,,,,,,,Neugalmsbüll,,,node/266146705,,auto,
settlement,Doogebel,,,,,,,Doogebal,Doogebal,,,,Dagebüll,,,node/617040425,,auto,
settlement,Foortuft,,,,,,,,,,,,Fahretoft,,,node/429618503,Q20558,auto,
settlement,Waiguurd,Woiguurd,,,,,,,,,,,Waygaard,,Vadgård,local/waygaard,,ok,
settlement,,,,Froodeguurd,,,,,,,,,Froddegaard,,,local/froddegaard,,ok,
settlement,,,,Troolebel,,,,,,,,,Trollebüll,,,node/4153335583,,auto,
settlement,Kuurlem,,Kuurlem,Kuurlem,,,,,,,,,Karlum,,Karlum,node/240030820,Q522890,auto,
settlement,e Lungbärj,,,,,,,,,,,,Langenberg,,,,,,
settlement,Taningstää,,Täningstää,,,,,,,,,,Tinningstedt,,Tinningsted,node/240128333,Q506034,auto,
settlement,Leek,,Leek,Leek,,,,,,,,,Leck,,Læk,node/68608557,Q28001,auto,
settlement,Leekäng,,,Leeking,,,,,,,,,Leckeng,,Lækeng,local/leckeng,,ok,
settlement,Änggröif,,,Inggrouf,,,,,,,,,Engruf,,,,,,
settlement,Naihåm,,,,,,,,,,,,Naihåm?,,,,,,
settlement,Huuchhulm,,,,,,,,,,,,Hyholm,,Højholm,,,,
settlement,Külsmårk,,,,,,,,,,,,Karlsmark,,Kjølsmark,,,,
settlement,e Rünel,,,de Rünel,,,,,,,,,Ründel,,Rønned; Ryndel,,,,
settlement,Wiilbärj,,,,,,,,,,,,Wielberg,,,,,,
settlement,Klasbel,,,Kläsbel,,,,,,,,,Klixbüll,,,node/240087485,Q506044,auto,
settlement,Såhoulm,,,Såhulm,,,,,,,,,Soholm,,,node/1574331830,Q97624876,auto,
settlement,Snootebel,,,,,,,,,,,,Schnatebüll,,,,,,
settlement,Weestersnootebel,,,,,,,,,,,,Wester Schnatebüll,,,,,,
settlement,Ååstersnootebel,,,,,,,,,,,,Oster-Schnatebüll,,,,,,
settlement,Klantem,,,Kläntem,,,,,,,,,Klintum,,,node/701278773,,,
settlement,Peerebel,,,,,,,,,,,,Perebüll,,,,,,
settlement,Hulteeker,,,,,,,,,,,,Holzacker,,Holtager,node/4361759266,,auto,
settlement,Späilbak,,,Späilbäk,,,,,,,,,Spölbek,,Spølbæk,,,,
settlement,Huugelün,,,,,,,,,,,,Hogelund,,Høgelund,,,,
settlement,Språkebel,Sprachbøl,,,,,,,,,,,Sprakebüll,,,node/240111106,Q559464,auto,
settlement,e Guurd,,,Guarde,,,,,,,,,Gaarde,,,node/8512003528,,auto,
settlement,Schårdebel,,,Schårdebel,,,,,,,,,Schardebüll,,,,,,
settlement,Stääsönj,,Stäärsuin,Stääsönj,,,,,,,,,Stedesand,,,node/240049302,Q639382,auto,
settlement,Orerslääch,,,,,,,,,,,,Adersleben,,,,,,
settlement,Däng-Sönj,,Ding-Suin,Ding-de-Sönj,,,,,,,,,Enge-Sande,,,node/240026107,Q522968,auto,
settlement,Däng,,,Ding,,,,,,,,,Enge,,,node/5428982668,,auto,
settlement,e Sönj,,,de Sönj,,,,,,,,,Sande,,,node/5428982669,,auto,
settlement,Däng Hii,,,de Hii; Ding Hii,,,,,,,,,Engerheide,,Enge Hede,,,,
settlement,e Eekre,,,de Eekere,,,,,,,,,Ackern,Enge-Sande,,,,,
settlement,Däägel,,,,,,,,,,,,Degel,,,,,,
settlement,Knorborj,,,,,,,,,,,,Knorburg,,Knorborg,node/6534693694,,auto,
settlement,Stååsem,,,Ståårem,,,,,,,,,Stadum,,,node/240094328,,auto,
settlement,Häärup,,,,,,,,,,,,Hörup,,,node/240103453,Q386507,auto,
settlement,Åktoorp,,,Ååchtoorp,,,,,,,,,Achtrup,,,node/240030054,Q341040,auto,
settlement,Latjenhorn,,,Lätjenhoarn,,,,,,,,,Lütjenhorn,,,node/8511796321,,auto,
settlement,Bälsbel,,,,,,,,,,,,Büllsbüll,,,node/8541333528,,auto,
settlement,Boowerstää,,,,,,,,,,,,Boverstedt,,,node/8454596331,,auto,
settlement,Låålönj,,,,,,,,,,,,Ladelund,,,node/240087827,Q522821,auto,
settlement,Brüüdjtoorp,,Braarep,Braarep,,,,,,,,,Braderup,Karrharde,Brarup,node/240098604,Q523770,auto,
settlement,Hulm,,,,,,,,,,,,Holm,,,relation/1420394,Q559369,,
settlement,Hulm Gutskuuch,,,,,,,,,,,,Holm Gotteskoog,,,node/10696511556,,auto,
settlement,Meelbüü,,,Melbü,,,,,,,,,Medelby,,,node/240072510,Q629653,auto,uncertain
settlement,Hol,Holjt,,,,,,,,,,,Holt,Medelby,,node/240048173,Q545710,auto,uncertain
settlement,Brik,,,,,,,,,,,,Riesbriek,,,node/2359344446,Q97479219,auto,
settlement,Schååflem,,,,,,,,,,,,Schafflund,,,node/240090603,Q551483,auto,
settlement,Bousbel,,,,,,,,,,,,Bosbüll,,,node/240040753,Q559456,auto,
settlement,Hoonebel,,,Hoonebel,,,,,,,,,Hunnebüll; Hundebüll,,,,,,uncertain
settlement,e Houlme,,,,e Hoolme,,,,,,,,Ockholm,,,node/240080339,,auto,
settlement,e Beerme,,,,Beergem,,,,,,,,Bargum,,,node/240080638,Q573011,auto,
settlement,Ååster-Beergem,,,,Aaster-Beergem,,,,,,,,Ost-Bargum,,,node/2959465165,,auto,
settlement,Weester-Beergem,,,,Weester-Beergem,,,,,,,,West-Bargum,,,node/1574065361,,auto,
settlement,Äfkebel,,,,Öfkebel,,,,,,,,Efkebüll,,,node/1558313568,Q124424592,auto,
settlement,e Horne,,,,e Hoorne,,,,,,,,Langenhorn,,,node/240080059,,,
settlement,e Ååsterhorne,,,,e Aasterhoorne,,,,,,,,Ost-Langenhorn,,,node/207512400,,auto,
settlement,e Weesterhorne,,,,e Weesterhoorne,,,,,,,,West-Langenhorn,,,node/207512405,,auto,
settlement,Horninge Hii,,,,Hoorninger Hii,,,,,,,,Langenhorner Heide,,,,,,
settlement,Mankebel,,,,Mönkebel,,,,,,,,Mönkebüll,,,node/207512395,,auto,
settlement,Lehii,,,,Lohii,,,,,,,,Loheide,,,node/1096550680,,auto,
settlement,Di Boul,,,,,,,,,,,,Bohle,,,,,,
settlement,Latjhoulm,,,,Läitjholem,,,,,,,,Lütjenholm,,,node/240047900,Q523789,auto,uncertain
settlement,Märebel,,,,Mörebel,,,,,,,,Mirebüll,,,,,,uncertain
settlement,Höögel,,,,Höögel,,,,,,,,Högel,,,node/240080809,Q523021,auto,
settlement,Adebel,,,,Aadebel,,,,,,,,Addebüll,,,node/3000270826,,auto,
settlement,Bätjebel,,,,Bötjebel,,,,,,,,Büttjebüll,,,node/2974350402,Q104771087,auto,
settlement,Iibel,,,,Iibel,,,,,,,,Ebüll,,,node/2974350403,,auto,
settlement,Steerdebel,,,,Steerdebel,,Stiardebel,,,,,,Sterdebüll,,,node/2974350732;node/9893788232,,,uncertain
settlement,Boorlem,,,,Boorlem,,,,,,,,Bordelum,,,node/240109895,Q31918233,auto,
settlement,Toorpem,,,,Toorpem,,,,,,,,Dörpum,,,node/185965732,Q104771595,auto,
settlement,Toorpemfälj,,,,Toorpemfäil,,,,,,,,Dörpumfeld,,,,,,
settlement,Ååster-Boorlem,,,,Aaster Boorlem,,,,,,,,Ost-Bordelum,,,node/2974350404,Q114685957,auto,
settlement,Weester-Boorlem,,,,,,,,,,,,West-Bordelum,,,node/2139809090,,auto,
settlement,Stulbärj,,,,Stolbeerch,,,,,,,,Stollberg,,,node/3000308224,,auto,
settlement,Aphüsem,,Äphüsem,,,,,,,,,,Uphusum,,,node/2139809089;relation/1420391,,,
settlement,Sänebel,,,,Säänebel,,,,,,,,Sönnebüll,,,node/185965729,Q523836,auto,
settlement,Bräist,,Bräidstäär,,Bräist,Bräist,,,,,,,Bredstedt,,,node/185965725,Q20753,auto,
settlement,Fåålst,,,,,Faalst,,,,,,,Vollstedt,,,node/240125511,Q559419,auto,
settlement,Sööderhakstää,Synnerhagstej,,,,,,,,,,,Süderhackstedt,,,node/240081495,Q368097,auto,
settlement,Golbak,,,,Golbäk,,,,,,,,Goldebek,,,node/240051163,Q528915,auto,
settlement,Gälün,,,,Gelün,,,,,,,,Goldelund,,,node/240038807,Q528786,auto,uncertain
settlement,Jåålönj,,,,Jalün,,,,,,,,Joldelund,,,node/240065127,Q522937,auto,
settlement,Huugelönj,,,,Huugelün,,,,,,,,Hogelund,,Højlund,,,,
settlement,Riserup,,,,Rööderup; Rääderup,,,,,,,,Riddorf,,,node/3808216055,Q121029115,auto,
settlement,Brääklem,,,,,,,,,,,,Breklum,,,node/158615820,Q559468,auto,
settlement,Buursbel,,,,Borsbel,,,,,,,,Borsbüll,,,node/158618274,,auto,
settlement,Wålsbel,,,,Waalsbel,,,,,,,,Wallsbüll,Bredstedt,,,,,
settlement,Toorpshii,,,,,,,,,,,,Dorfheide,,,,,,
settlement,Treelstoorp,,,,,Trölstrup,,,,,,,Drelsdorf,,Trelstorp; Trelstrup,node/178741022,,auto,
settlement,Kolkerhii,Kåldtjer'hie,,,,,,,,,,,Kolkerheide,,,node/240069004,,auto,
settlement,Jöömst,Lyngste,,,,,,,,,,,Löwenstedt,,,node/240046716,Q48258,auto,
settlement,Brook,,,,,,,,,,,,Brook,,,node/2104743182,,auto,
settlement,Hååselönj,Haslinj,,,Haaselün,,,,,,,,Haselund,,,node/180296677,Q48260,auto,uncertain
settlement,Feeshoulem,,,,,,,,,,,,Fehsholm,,,,,,
settlement,Strükem,,,,,,,,,,,,Struckum,,,node/168883031,Q559379,auto,
settlement,Åålmtoorp,,,,Aalmtoorp,,,,,,,,Almdorf,,,node/181537760,Q573052,auto,uncertain
settlement,Bååmst,,,,,Baamst,,,,,,,Bohmstedt,,,node/168883020,Q573025,auto,
settlement,Håks,,,,,Haaks,,,,,,,Haaks,,,node/6272447274,,auto,
settlement,Norst,,,,,Noorst,,,,,,,Norstedt,,,node/240028447,Q573037,auto,
settlement,Spänkebel,,,,,,,,,,,,Spinkebüll,,,node/2061785687,,auto,
settlement,Fjåål,Fjålj,,,,Fjaal,,,,,,,Viöl,,Fjolde,node/168883050,Q573073,auto,
settlement,Huuchfjåål,,,,,,,,,,,,Hochviöl,,,node/2104682964,,auto,
settlement,Kråågelün,,,,,Kraagelün,,,,,,,Kragelund,,,,,,
settlement,,,,,Bokslün,,,,,,,,Boxlund,,Bokslund,node/2061785851,Q105701717,auto,
settlement,,,,,Hukstrup,,,,,,,,Hoxtrup,,,node/2061785580,,auto,
settlement,Bjarntoorp,,,,,,,,,,,,Behrendorf,,,node/240107802,Q48257,auto,
settlement,Bonlem,,,,,,,,,,,,Bondelum,,,node/240105141,Q48262,auto,
settlement,Salwit,,,,,,,,,,,,Sollwitt,,Solved,node/240116169,Q572960,auto,
settlement,Puubel,,,,,,,,,,,,Pobüll,,Pobøl; Påbøl,node/2092462863,,auto,
settlement,Ornshood,,,,,Oornshaud,,,,,,,Ahrenshöft,,,node/168883042,Q402840,auto,uncertain
settlement,Ålwåt,,,,,,Alwat,,,,,,Arlewatt,,,node/180296627,Q20745,auto,uncertain
settlement,Åldrop,,,,,,,,,,,,Olderup,,,node/240045915,Q20782,auto,
settlement,Ämst,Immingstej,,,,,,,,,,,Immenstedt,,,relation/1406976,,,
settlement,Årnfjåål,,,,,,,,,,,,Ahrenviöl,,,node/1831843206,Q402850,auto,
settlement,Uurst,,,,,,,,,,,,Ohrstedt,,,,,,
settlement,Ååster-Uurst,,,,,,,,,,,,Oster-Ohrstedt,,,node/180296137,Q572969,auto,
settlement,Weester-Uurst,,,,,,,,,,,,Wester-Ohrstedt,,,node/180296036,Q572982,auto,
settlement,Bakenshult,,,,,,,,,,,,Backensholz,,,,,,
settlement,Brämsborj,,,,,,Bremsborj,,,,,,Bremsburg,,,node/4386949356,,auto,
settlement,Eelemäning,,,,,,,,,,,,Elemenning,,Alminding,,,,
settlement,Älerbel,,,,,,,,,,,,Ellerbüll,,,,,,
settlement,Heerstem,,,,,,,,,,,,Herstum,,,node/1346171839,,auto,
settlement,Håtstinge Mjarsch,,,,,,Haatstinger Määrsch,,,,,,Hattstedter Marsch,,,,,,
settlement,Lunbärj,,,,,,Lunberich,,,,,,Lundenberg,,,node/1346171389,,auto,
settlement,Buunelönj,,,,,,Buanenlöön,,,,,,Bohnenland,,,,,,
settlement,Wååbel,,,,,,Waabel,,,,,,Wobbenbüll,,,node/85925751,Q573064,auto,
settlement,Wååbelfälj,,,,,,Waabelfeel,,,,,,Wobbenbüllfeld,,,node/10682858194,,auto,
settlement,Håtst,,,,,,Haatst,,,,,,Hattstedt,,,node/180296435,Q21135,auto,
settlement,Håtstfälj,,,,,,Haatstfeel,,,,,,Hattstedtfeld,,,node/10683864063,,auto,
settlement,Horst,,,,,,Hoorst,,,,,,Horstedt,,,node/240073033,Q28034,auto,
settlement,,,,,,,Schööbel,,,,Skööbel,,Schobüll,,,,,,
settlement,,,,,,,Hälbel,,,,,,Halebüll,,,node/85925746,,auto,
settlement,Hukensbel,,,,,,Hukensbel,,,,,,Hockensbüll,,,node/1264617974,,auto,
settlement,Hukensbelfälj,,,,,,Hukensbelfeel,,,,,,Hockensbüllfeld,,,node/3942828559,,auto,
settlement,e Lün,,,,,,,,,,,,Lund,,,,,,
settlement,Kilsborj,,,,,,,,,,,,Kielsburg,,,node/4101288713,Q29184636,auto,
settlement,Hüsem,,,,,,,,,,,,Husum,,,node/240085119,Q21159,auto,
settlement,e Moose,,,,,,,,,,,,Maas,Husum,,,,,
settlement,Rööms,,,,,,,,,,,,Rödemis,,,node/1561395491,,auto,
settlement,Augsborj,,,,,,,,,,,,Augsburg,Husum,,node/666751908,,auto,
settlement,Swiising,,,,,,Swiasing,,,,,,Schwesing,,Svesing,node/180295960,Q573045,auto,
settlement,Iipernstää,,,,,,,,,,,,Ipernstedt,,,node/286928814,,auto,uncertain
settlement,Råntrem,,,,,,,,,,,,Rantrum,,,node/300363691,Q21019,auto,
settlement,,,e Wäsk,,,,,,,,,,Wisch,,Visk,,,,
settlement,Heme,,,,,,,,,,,,Hemme,,,,,,
settlement,Mälst,,,,,,,,,,,,Mildstedt,,,node/240096695,Q21011,auto,
settlement,Ååstenfälj,,,,,,Aastenfeel,,,,,,Ostenfeld,,,node/240062575,Q667300,auto,
settlement,Winert,,,,,,,,,,,,Winnert,,,node/240099714,Q573057,auto,
settlement,Outrem,,,,,,,,,,,,Autrum,,,,,,
settlement,Swåbstää,,,,,,,,,,,,Schwabstedt,,Svavsted,node/240026736,Q28050,auto,
settlement,Ramstää,,,,,,,,,,,,Ramstedt,,,node/240092922,Q32246026,auto,
settlement,Huude,,,,,,,,,,,,Hude,,,node/240109089,Q21016,auto,
settlement,Seet,,,,,,,,,,,,Seeth,,Sæd,node/240065161,Q28020,auto,
settlement,Draage,,,,,,,,,,,,Drage,,,node/240083242,Q20742,auto,
settlement,Fräärstää,,,,,,,,,,,,Friedrichstadt,,,node/240062039,,auto,
